year,n,prevalence
2110.0,139,0.014388489208633094
2111.0,127,0.031496062992125984
2112.0,144,0.027777777777777776
2113.0,141,0.028368794326241134
2114.0,71,0.014084507042253521
2115.0,128,0.0546875
2116.0,127,0.031496062992125984
2117.0,172,0.01744186046511628
2118.0,218,0.0045871559633027525
2119.0,186,0.016129032258064516
2120.0,173,0.011560693641618497
2121.0,202,0.019801980198019802
2122.0,178,0.028089887640449437
2123.0,172,0.01744186046511628
2124.0,177,0.03389830508474576
2125.0,160,0.04375
2126.0,187,0.0481283422459893
2127.0,163,0.03067484662576687
2128.0,177,0.02824858757062147
2129.0,179,0.027932960893854747
2130.0,141,0.02127659574468085
2131.0,177,0.03389830508474576
2132.0,165,0.01818181818181818
2133.0,157,0.03821656050955414
2134.0,208,0.02403846153846154
2135.0,146,0.02054794520547945
2136.0,155,0.01935483870967742
2137.0,178,0.0056179775280898875
2138.0,165,0.024242424242424242
2139.0,123,0.04065040650406504
2140.0,126,0.015873015873015872
2141.0,158,0.03164556962025317
2142.0,177,0.01694915254237288
2143.0,155,0.03225806451612903
2144.0,189,0.037037037037037035
2145.0,198,0.020202020202020204
2146.0,190,0.015789473684210527
2147.0,118,0.01694915254237288
2148.0,186,0.010752688172043012
2149.0,150,0.03333333333333333
2150.0,150,0.04
2151.0,157,0.025477707006369428
2152.0,148,0.013513513513513514
2153.0,188,0.026595744680851064
2154.0,161,0.031055900621118012
2155.0,156,0.03205128205128205
2156.0,147,0.034013605442176874
2157.0,171,0.03508771929824561
2158.0,231,0.017316017316017316
2159.0,192,0.020833333333333332
2160.0,133,0.007518796992481203
2161.0,188,0.031914893617021274
2162.0,231,0.017316017316017316
2163.0,248,0.024193548387096774
2164.0,175,0.022857142857142857
2165.0,190,0.06842105263157895
2166.0,146,0.0273972602739726
2167.0,213,0.028169014084507043
2168.0,173,0.04046242774566474
2169.0,230,0.02608695652173913
2170.0,157,0.025477707006369428
2171.0,187,0.0053475935828877
2172.0,157,0.025477707006369428
2173.0,158,0.02531645569620253
2174.0,146,0.02054794520547945
2175.0,156,0.057692307692307696
2176.0,254,0.03543307086614173
2177.0,139,0.02158273381294964
2178.0,134,0.014925373134328358
2179.0,167,0.05389221556886228
2180.0,150,0.006666666666666667
2181.0,159,0.006289308176100629
2182.0,185,0.021621621621621623
2183.0,247,0.03643724696356275
2184.0,188,0.010638297872340425
2185.0,174,0.040229885057471264
2186.0,281,0.010676156583629894
2187.0,159,0.018867924528301886
2188.0,172,0.011627906976744186
2189.0,162,0.012345679012345678
2190.0,61,0.0
2191.0,22,0.0
2192.0,26,0.038461538461538464
2193.0,51,0.0
2194.0,38,0.02631578947368421
2195.0,53,0.03773584905660377
2196.0,48,0.041666666666666664
2197.0,45,0.044444444444444446
2198.0,11,0.09090909090909091
2199.0,41,0.024390243902439025
2200.0,13,0.07692307692307693
2201.0,5,0.0
2202.0,7,0.14285714285714285
2203.0,8,0.0
2204.0,5,0.0
2205.0,3,0.0
2206.0,1,0.0
